symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-05-27 00:00:00+00:00,2402.51,2440,2402,2436.94,1948113,2402.51,2440,2402,2436.94,1948113,0,1
GOOG,2021-05-28 00:00:00+00:00,2411.56,2428.14,2407.69,2421.96,1205382,2411.56,2428.14,2407.69,2421.96,1205382,0,1
GOOG,2021-06-01 00:00:00+00:00,2429.81,2437.9709,2404.88,2422,958289,2429.81,2437.9709,2404.88,2422,958289,0,1
GOOG,2021-06-02 00:00:00+00:00,2421.28,2442,2404.2,2435.31,858105,2421.28,2442,2404.2,2435.31,858105,0,1
GOOG,2021-06-03 00:00:00+00:00,2404.61,2409.745,2382.83,2395.02,917291,2404.61,2409.745,2382.83,2395.02,917291,0,1
GOOG,2021-06-04 00:00:00+00:00,2451.76,2453.859,2417.77,2422.52,1297434,2451.76,2453.859,2417.77,2422.52,1297434,0,1
GOOG,2021-06-07 00:00:00+00:00,2466.09,2468,2441.0725,2451.32,1192453,2466.09,2468,2441.0725,2451.32,1192453,0,1
GOOG,2021-06-08 00:00:00+00:00,2482.85,2494.495,2468.24,2479.9,1253253,2482.85,2494.495,2468.24,2479.9,1253253,0,1
GOOG,2021-06-09 00:00:00+00:00,2491.4,2505,2487.33,2499.5,1006337,2491.4,2505,2487.33,2499.5,1006337,0,1
GOOG,2021-06-10 00:00:00+00:00,2521.6,2523.26,2494,2494.01,1561733,2521.6,2523.26,2494,2494.01,1561733,0,1
GOOG,2021-06-11 00:00:00+00:00,2513.93,2526.99,2498.29,2524.92,1262309,2513.93,2526.99,2498.29,2524.92,1262309,0,1
